0,1,2,3,4,5,6,7
0943,20241213,PAY   ,-10971.0,ELECTRONIC BANKING PAYMENT TO ,CE702 CE7028 ELECTR ZCX8314:22        ,509,0.0
0943,20241213,PAY   ,-11673.45,ELECTRONIC BANKING PAYMENT TO ,SK608 SK6088 KAW CI NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-11952.0,ELECTRONIC BANKING PAYMENT TO ,SS628 SS6284 SHAWN  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-12066.8,ELECTRONIC BANKING PAYMENT TO ,CK507 CK5075 KIMCIT NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-12898.72,ELECTRONIC BANKING PAYMENT TO ,SL608 SL6087 LISEKH ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-13055.37,ELECTRONIC BANKING PAYMENT TO ,SA621 SA6218 ANO KA NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-13092.17,ELECTRONIC BANKING PAYMENT TO ,ST610 ST6102 TSOGO  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-13190.43,ELECTRONIC BANKING PAYMENT TO ,CB700 CB7009 BOLAND NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-13370.91,ELECTRONIC BANKING PAYMENT TO ,CD516 CD5160 DU TOI NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-13458.24,ELECTRONIC BANKING PAYMENT TO ,SC615 SC6157 CEDUMA NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-13665.75,ELECTRONIC BANKING PAYMENT TO ,CE700 CE7008 E&C EA NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-13948.95,ELECTRONIC BANKING PAYMENT TO ,CK507 CK5076 KIMCIT NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-13982.99,ELECTRONIC BANKING PAYMENT TO ,SL610 SL6108 LUAAZ  ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-14016.38,ELECTRONIC BANKING PAYMENT TO ,SR613 SR6130 RELESE NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-14278.4,ELECTRONIC BANKING PAYMENT TO ,CH704 CH7041 HAGGIE NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-14491.92,ELECTRONIC BANKING PAYMENT TO ,SD610 SD6102 DRIEBO NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-14722.88,ELECTRONIC BANKING PAYMENT TO ,SA618 SA6185 AFRICA NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-14974.77,ELECTRONIC BANKING PAYMENT TO ,SV606 SV6064 VSK TR NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-15500.0,ELECTRONIC BANKING PAYMENT TO ,CD509 CD5097 DR DG  NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-15532.12,ELECTRONIC BANKING PAYMENT TO ,SB615 SB6154 BP TAU ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-15624.0,ELECTRONIC BANKING PAYMENT TO ,SC619 SC6193 CAMOES ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-15653.61,ELECTRONIC BANKING PAYMENT TO ,SM625 SM6253 MALUZA NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-15784.38,ELECTRONIC BANKING PAYMENT TO ,SC618 SC6181 CHESCA NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-15989.59,ELECTRONIC BANKING PAYMENT TO ,SA619 SA6190 ABSOLU NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-16053.0,ELECTRONIC BANKING PAYMENT TO ,SS620 SS6204 SANGO  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-16781.62,ELECTRONIC BANKING PAYMENT TO ,CM705 CM7058 MTN    NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-17030.55,ELECTRONIC BANKING PAYMENT TO ,SV606 SV6065 VOVO M NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-17033.04,ELECTRONIC BANKING PAYMENT TO ,SS628 SS6280 SKAPNO NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-17058.96,ELECTRONIC BANKING PAYMENT TO ,SM626 SM6268 MBOMA  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-17983.13,ELECTRONIC BANKING PAYMENT TO ,SR611 SR6116 REMARK ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-18115.71,ELECTRONIC BANKING PAYMENT TO ,SL609 SL6099 LOG TR ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-19438.68,ELECTRONIC BANKING PAYMENT TO ,CT711 CT7110 TIP TR ZCX8314:22        ,509,0.0
0943,20241213,PAY   ,-20786.48,ELECTRONIC BANKING PAYMENT TO ,SA618 SA6183 AL2KG  ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-20841.32,ELECTRONIC BANKING PAYMENT TO ,SC617 SC6178 CALIBI ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-21258.78,ELECTRONIC BANKING PAYMENT TO ,SL610 SL6106 LEBO & NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-21412.36,ELECTRONIC BANKING PAYMENT TO ,SM624 SM6247 MAJOR1 NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-21871.67,ELECTRONIC BANKING PAYMENT TO ,SA619 SA6190 ABSOLU NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-22086.9,ELECTRONIC BANKING PAYMENT TO ,CK712 CK7120 KALGRO ZCX8314:22        ,509,0.0
0943,20241213,PAY   ,-22449.87,ELECTRONIC BANKING PAYMENT TO ,SR611 SR6116 REMARK ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-22980.87,ELECTRONIC BANKING PAYMENT TO ,SL609 SL6099 LOG TR ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-23421.39,ELECTRONIC BANKING PAYMENT TO ,SR606 SR6067 REATLE NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-24729.83,ELECTRONIC BANKING PAYMENT TO ,SC615 SC6155 CA BUI NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-24992.64,ELECTRONIC BANKING PAYMENT TO ,SS620 SS6204 SANGO  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-25354.97,ELECTRONIC BANKING PAYMENT TO ,SC612 SC6125 CUMAX  ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-26235.06,ELECTRONIC BANKING PAYMENT TO ,SM623 SM6232 MB CIV ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-26581.95,ELECTRONIC BANKING PAYMENT TO ,SA621 SA6219 ATHIS  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-27324.0,ELECTRONIC BANKING PAYMENT TO ,CH712 CH7121 HLASE  NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-27777.74,ELECTRONIC BANKING PAYMENT TO ,SS627 SS6278 SANNS  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-27896.96,ELECTRONIC BANKING PAYMENT TO ,SC619 SC6193 CAMOES ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-28025.21,ELECTRONIC BANKING PAYMENT TO ,SR613 SR6132 RATISI NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-28100.66,ELECTRONIC BANKING PAYMENT TO ,SL604 SL6049 LEKHOO NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-28527.19,ELECTRONIC BANKING PAYMENT TO ,SK608 SK6083 KHEWAN NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-28933.84,ELECTRONIC BANKING PAYMENT TO ,SG608 SG6088 GLOBAL NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-30515.93,ELECTRONIC BANKING PAYMENT TO ,SK608 SK6087 KHANAN NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-31019.6,ELECTRONIC BANKING PAYMENT TO ,SM625 SM6254 MACWIL ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-31424.85,ELECTRONIC BANKING PAYMENT TO ,SC612 SC6125 CUMAX  NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-31740.89,ELECTRONIC BANKING PAYMENT TO ,SM625 SM6254 MACWIL NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-32427.67,ELECTRONIC BANKING PAYMENT TO ,ST601 ST6015 TJ S J ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-32580.0,ELECTRONIC BANKING PAYMENT TO ,SI607 SI6071 INCRED ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-33964.2,ELECTRONIC BANKING PAYMENT TO ,SP608 SP6080 PERANA ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-34593.98,ELECTRONIC BANKING PAYMENT TO ,SO604 SO6042 ONE MA ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-34706.3,ELECTRONIC BANKING PAYMENT TO ,CD514 CD5149 DE WER NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-34731.82,ELECTRONIC BANKING PAYMENT TO ,SD617 SD6176 DUBE & ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-34750.0,ELECTRONIC BANKING PAYMENT TO ,CD516 CD5165 DIRISA NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-35236.74,ELECTRONIC BANKING PAYMENT TO ,SR612 SR6126 RDT GE NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-35667.99,ELECTRONIC BANKING PAYMENT TO ,SG605 SG6057 GMJ CI NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-38185.84,ELECTRONIC BANKING PAYMENT TO ,SR613 SR6133 ROOS G ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-40419.65,ELECTRONIC BANKING PAYMENT TO ,SW603 SW6030 WH COA NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-40662.2,ELECTRONIC BANKING PAYMENT TO ,SM624 SM6243 MUSA W NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-42194.88,ELECTRONIC BANKING PAYMENT TO ,SL604 SL6045 LAUBSC NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-42951.38,ELECTRONIC BANKING PAYMENT TO ,SC619 SC6193 CAMOES ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-43188.82,ELECTRONIC BANKING PAYMENT TO ,SN611 SN6117 NT PRO ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-43500.89,ELECTRONIC BANKING PAYMENT TO ,SR604 SR6042 R PHIA NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-43900.0,ELECTRONIC BANKING PAYMENT TO ,SM627 SM6274 MOELEE ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-45500.42,ELECTRONIC BANKING PAYMENT TO ,SP605 SP6052 PHUMEL NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-45876.73,ELECTRONIC BANKING PAYMENT TO ,SB618 SB6181 BM MAK ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-46251.0,ELECTRONIC BANKING PAYMENT TO ,SG610 SG6101 GIBCON ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-47187.5,ELECTRONIC BANKING PAYMENT TO ,CK711 CK7118 KLIPKO NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-47474.93,ELECTRONIC BANKING PAYMENT TO ,SL609 SL6097 LOMSO  ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-47816.94,ELECTRONIC BANKING PAYMENT TO ,SE621 SE6214 EMP3RO NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-47899.61,ELECTRONIC BANKING PAYMENT TO ,SC611 SC6115 CYAFIX ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-48846.6,ELECTRONIC BANKING PAYMENT TO ,SM625 SM6254 MACWIL ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-49209.08,ELECTRONIC BANKING PAYMENT TO ,SG605 SG6057 GMJ CI NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-49943.9,ELECTRONIC BANKING PAYMENT TO ,ST611 ST6111 THUSO  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-52448.89,ELECTRONIC BANKING PAYMENT TO ,SO603 SO6036 OSWALD ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-53499.96,ELECTRONIC BANKING PAYMENT TO ,SM624 SM6249 M&M CO ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-54896.4,ELECTRONIC BANKING PAYMENT TO ,SR612 SR6124 ROBURN ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-55262.38,ELECTRONIC BANKING PAYMENT TO ,SA618 SA6183 AL2KG  ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-55458.8,ELECTRONIC BANKING PAYMENT TO ,CR508 CR5087 RWK EL NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-56050.43,ELECTRONIC BANKING PAYMENT TO ,SC617 SC6178 CALIBI ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-57882.83,ELECTRONIC BANKING PAYMENT TO ,CD501 CD5019 DESLEY NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-61691.18,ELECTRONIC BANKING PAYMENT TO ,CV701 CV7012 VANSTO NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-62423.35,ELECTRONIC BANKING PAYMENT TO ,CO703 CO7038 OTTO S NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-64408.94,ELECTRONIC BANKING PAYMENT TO ,SW604 SW6043 WIXONI NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-64894.28,ELECTRONIC BANKING PAYMENT TO ,SG610 SG6101 GIBCON NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-65380.34,ELECTRONIC BANKING PAYMENT TO ,SK607 SK6078 K20152 ZCX8314:23        ,509,0.0
0943,20241213,PAY   ,-66114.0,ELECTRONIC BANKING PAYMENT TO ,SN611 SN6118 NKOMO  ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-67081.73,ELECTRONIC BANKING PAYMENT TO ,SL604 SL6049 LEKHOO NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-67383.32,ELECTRONIC BANKING PAYMENT TO ,SA620 SA6206 AC SQU NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-67992.25,ELECTRONIC BANKING PAYMENT TO ,SK605 SK6057 LEGEND NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-68000.0,ELECTRONIC BANKING PAYMENT TO ,SB616 SB6167 BRANDA NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-68890.47,ELECTRONIC BANKING PAYMENT TO ,SN611 SN6118 NKOMO  ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-71889.38,ELECTRONIC BANKING PAYMENT TO ,SS625 SS6251 SKYCO  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-72758.11,ELECTRONIC BANKING PAYMENT TO ,SS628 SS6281 SONKOM NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-73125.0,ELECTRONIC BANKING PAYMENT TO ,SK605 SK6057 LEGEND NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-74344.37,ELECTRONIC BANKING PAYMENT TO ,CB514 CB5149 BADEC  NHU2312:37        ,509,0.0
0943,20241213,PAY   ,-77130.0,ELECTRONIC BANKING PAYMENT TO ,SR611 SR6117 RIBYE  ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-77634.36,ELECTRONIC BANKING PAYMENT TO ,SS628 SS6281 SONKOM NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-77774.58,ELECTRONIC BANKING PAYMENT TO ,SA621 SA6212 APJ ST ZCX8314:21        ,509,0.0
0943,20241213,PAY   ,-78625.15,ELECTRONIC BANKING PAYMENT TO ,CK704 CK7042 KIMROA NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-81179.48,ELECTRONIC BANKING PAYMENT TO ,CN717 CN7172 NOLCOE ZCX8314:22        ,509,0.0
0943,20241213,PAY   ,-81784.27,ELECTRONIC BANKING PAYMENT TO ,SM624 SM6249 M&M CO NHU2312:36        ,509,0.0
0943,20241213,PAY   ,-83381.17,ELECTRONIC BANKING PAYMENT TO ,SN610 SN6104 NEW HA NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-83392.02,ELECTRONIC BANKING PAYMENT TO ,SS628 SS6288 SDK C  NHU2312:35        ,509,0.0
0943,20241213,PAY   ,-83818.21,ELECTRONIC BANKING PAYMENT TO ,SJ605 SJ6054 JTSS T NHU2312:35        ,509,0.0
